city,state,id_city
Rio Branco,AC,1
Acrelândia,AC,2
Porto Acre,AC,3
Plácido de Castro,AC,4
Bujari,AC,5
Cruzeiro do Sul,AC,6
Senador Guiomard,AC,7
Mâncio Lima,AC,8
Xapuri,AC,9
Assis Brasil,AC,10
Feijó,AC,11
Tarauacá,AC,12
Sena Madureira,AC,13
Epitaciolândia,AC,14
Capixaba,AC,15
Santa Rosa do Purus,AC,16
Brasiléia,AC,17
Marechal Thaumaturgo,AC,18
Rodrigues Alves,AC,19
Manoel Urbano,AC,20
Porto Walter,AC,21
Jordão,AC,22
Maceió,AL,23
Porto Real do Colégio,AL,24
